conflictid,country,incomp,year,int,cumint,type,startdate,startprec,startdate2,startprec2,epend,ependdate,ependprec,region
24,Burma,2,1966,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1967,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1968,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1969,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1970,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1971,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1972,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1973,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1974,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1975,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1976,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1977,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1978,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1979,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1980,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1981,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1982,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1983,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1984,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1985,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1986,2,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1987,1,1,3,1948-02-29,4,1948-02-29,4,0,,,3
24,Burma,2,1988,2,1,3,1948-02-29,4,1948-02-29,4,1,1988-12-31,1,3
24,Burma,2,1990,1,1,3,1948-02-29,4,1990-03-20,2,0,,,3
24,Burma,2,1991,1,1,3,1948-02-29,4,1990-03-20,2,0,,,3
24,Burma,2,1992,1,1,3,1948-02-29,4,1990-03-20,2,1,1992-12-31,5,3
24,Burma,2,1994,1,1,3,1948-02-29,4,1994-01-01,2,1,1994-12-31,5,3
25,Burma,1,1948,1,0,3,1948-01-31,4,1948-01-31,4,0,,,3
25,Burma,1,1949,1,0,3,1948-01-31,4,1948-01-31,4,0,,,3
25,Burma,1,1950,1,0,3,1948-01-31,4,1948-01-31,4,0,,,3
25,Burma,1,1951,1,0,3,1948-01-31,4,1948-01-31,4,0,,,3
25,Burma,1,1952,1,0,3,1948-01-31,4,1948-01-31,4,0,,,3
25,Burma,1,1953,1,0,3,1948-01-31,4,1948-01-31,4,0,,,3
25,Burma,1,1954,1,0,3,1948-01-31,4,1948-01-31,4,0,,,3
25,Burma,1,1955,1,0,3,1948-01-31,4,1948-01-31,4,0,,,3
25,Burma,1,1956,1,0,3,1948-01-31,4,1948-01-31,4,0,,,3
25,Burma,1,1957,1,0,3,1948-01-31,4,1948-01-31,4,0,,,3
25,Burma,1,1958,1,0,3,1948-01-31,4,1948-01-31,4,0,,,3
25,Burma,1,1959,1,0,3,1948-01-31,4,1948-01-31,4,0,,,3
25,Burma,1,1960,1,0,3,1948-01-31,4,1948-01-31,4,0,,,3
25,Burma,1,1961,1,0,3,1948-01-31,4,1948-01-31,4,1,1961-11-15,1,3
25,Burma,1,1964,1,0,3,1948-01-31,4,1964-01-31,4,0,,,3
