"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"PAPRPPG","198702","10761","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198703","10085","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198704","10840","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198705","11408","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198706","11796","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198707","13067","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198708","13877","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198709","13324","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198710","13260","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198711","12727","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198712","12845","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198713","12103","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198801","11778","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198802","11680","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198803","11931","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198804","12433","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198805","12284","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198806","12596","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198807","12740","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198808","13940","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198809","14430","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198810","15527","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198811","16022","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198812","16063","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
