YYYY, C_win, C_sum,  T_win,   T_sum,  T_year 
944,      ,      ,       ,        ,           
945,      ,      ,       ,        ,           
946,      ,      ,       ,        ,           
947,      ,      ,       ,        ,           
948,      ,      ,       ,        ,           
949,      ,      ,       ,        ,           
950,      ,      ,       ,        ,           
951,      ,      ,       ,        ,           
952,      ,      ,       ,        ,           
953,      ,      ,       ,        ,           
954,      ,      ,       ,        ,           
955,      ,   III,       ,177,99
956,      ,      ,       ,        ,           
957,      ,      ,       ,        ,           
958,      ,      ,       ,        ,           
959,      ,      ,       ,        ,           
960,      ,      ,       ,        ,           
961,      ,      ,       ,        ,           
962,      ,      ,       ,        ,           
963,      ,      ,       ,        ,           
964,   III,      ,-16,        ,76
965,      ,      ,       ,        ,           
966,      ,      ,       ,        ,           
967,      ,      ,       ,        ,           
968,      ,      ,       ,        ,           
969,      ,      ,       ,        ,           
970,      ,      ,       ,        ,           
971,      ,      ,       ,        ,           
972,      ,      ,       ,        ,           
973,      ,      ,       ,        ,           
974,      ,   III,       ,177,99
975,   III,      ,-16,        ,76
976,      ,      ,       ,        ,           
977,      ,   III,       ,177,99
978,      ,      ,       ,        ,           
979,      ,      ,       ,        ,           
980,      ,      ,       ,        ,           
981,      ,      ,       ,        ,           
982,      ,      ,       ,        ,           
983,      ,      ,       ,        ,           
984,      ,      ,       ,        ,           
985,      ,      ,       ,        ,           
986,      ,      ,       ,        ,           
987,      ,      ,       ,        ,           
988,    II,   III,23,180,101
989,      ,      ,       ,        ,           
990,      ,      ,       ,        ,           
991,      ,      ,       ,        ,           
992,      ,      ,       ,        ,           
993,      ,   III,       ,177,99
994,   III,      ,-16,        ,76
995,      ,      ,       ,        ,           
996,      ,      ,       ,        ,           
997,      ,      ,       ,        ,           
998,      ,      ,       ,        ,           
999,      ,      ,       ,        ,           
1000,      ,      ,       ,        ,           
1001,      ,      ,       ,        ,           
1002,      ,      ,       ,        ,           
1003,5,    II,23,162,92
1004,      ,      ,       ,        ,           
1005,      ,      ,       ,        ,           
1006,      ,      ,       ,        ,           
1007,      ,      ,       ,        ,           
1008,      ,      ,       ,        ,           
1009,      ,      ,       ,        ,           
1010,      ,      ,       ,        ,           
1011,7,      ,-2,        ,82
1012,      ,      ,       ,        ,           
1013,      ,      ,       ,        ,           
1014,      ,      ,       ,        ,           
1015,      ,      ,       ,        ,           
1016,      ,      ,       ,        ,           
1017,      ,      ,       ,        ,           
1018,      ,      ,       ,        ,           
1019,      ,      ,       ,        ,           
1020,6,      ,12,        ,87
1021,      ,      ,       ,        ,           
1022,      ,      ,       ,        ,           
1023,      ,      ,       ,        ,           
1024,      ,      ,       ,        ,           
1025,      ,      ,       ,        ,           
1026,      ,      ,       ,        ,           
1027,      ,      ,       ,        ,           
1028,      ,      ,       ,        ,           
1029,      ,      ,       ,        ,           
1030,      ,      ,       ,        ,           
1031,      ,      ,       ,        ,           
1032,      ,      ,       ,        ,           
1033,      ,      ,       ,        ,           
1034,      ,      ,       ,        ,           
1035,3,      ,43,        ,100
1036,      ,      ,       ,        ,           
1037,      ,      ,       ,        ,           
1038,      ,      ,       ,        ,           
1039,      ,      ,       ,        ,           
1040,      ,      ,       ,        ,           
1041,      ,      ,       ,        ,           
1042,      ,     I,       ,147,84
1043,      ,     I,       ,147,84
1044,7,      ,-2,        ,82
1045,      ,      ,       ,        ,           
1046,      ,      ,       ,        ,           
1047,8,      ,-18,        ,75
1048,      ,      ,       ,        ,           
1049,      ,      ,       ,        ,           
1050,      ,      ,       ,        ,           
1051,      ,     I,       ,147,84
1052,      ,      ,       ,        ,           
1053,      ,      ,       ,        ,           
1054,      ,      ,       ,        ,           
1055,      ,      ,       ,        ,           
1056,3,     I,43,147,92
1057,      ,      ,       ,        ,           
1058,      ,      ,       ,        ,           
1059,      ,      ,       ,        ,           
1060,7,      ,-2,        ,82
1061,      ,      ,       ,        ,           
1062,      ,      ,       ,        ,           
1063,      ,      ,       ,        ,           
1064,      ,      ,       ,        ,           
1065,      ,      ,       ,        ,           
1066,3,      ,43,        ,100
1067,      ,      ,       ,        ,           
1068,      ,      ,       ,        ,           
1069,7,     I,-2,147,74
1070,5,   III,23,177,99
1071,3,      ,43,        ,100
1072,      ,      ,       ,        ,           
1073,      ,      ,       ,        ,           
1074,6,      ,12,        ,87
1075,      ,      ,       ,        ,           
1076,      ,      ,       ,        ,           
1077,9,      ,-24,        ,73
1078,      ,   III,       ,177,99
1079,      ,      ,       ,        ,           
1080,5,      ,23,        ,92
1081,      ,      ,       ,        ,           
1082,      ,      ,       ,        ,           
1083,      ,   III,       ,177,99
1084,      ,      ,       ,        ,           
1085,      ,      ,       ,        ,           
